1,380795272,Krondor: The Betrayal,Raymond E. Feist,1998
2,1416949658,The Dark Is Rising,Susan Cooper,1973
3,1857231082,The Black Unicorn ,Terry Brooks,1987
4,553803700,"I, Robot",Isaac Asimov,1950
5,080213825X,Four Blondes,Candace Bushnell,2000
6,375913750,"Love, Stargirl",Jerry Spinelli,2007
7,074349671X,The Tenth Circle,Jodi Picoult,2006
8,743454553,Vanishing Acts,Jodi Picoult,2005
9,765317508,Aztec,Gary Jennings,1980
10,142501085,Marlfox,Brian Jacques,1998
11,1442468351,Lady Midnight,Cassandra Clare,2016
12,1439152802,The Secret Keeper,Kate Morton,2012
13,399153942,The Afghan,Frederick Forsyth,2006
14,441017835,A Touch of Dead,Charlaine Harris,2009
15,590554107,Daja's Book,Tamora Pierce,1998
16,1451648537,Steve Jobs,Walter Isaacson,2011
17,590396560,Cold Fire,Tamora Pierce,2002
18,000723368X,Thanks for the Memories,Cecelia Ahern,2008
19,803734735,Bitterblue,Kristin Cashore,2012
20,1592243002,Daisy Miller,Henry James,1878
21,055337849X,The Brothers K,David James Duncan,1992
22,61150142,The Pact,Jodi Picoult,1998
23,739328271,Plum Spooky,Janet Evanovich,2009
24,62076108,Twice Tempted ,Jeaniene Frost,2013
25,039925675X,Legend,Marie Lu,2011
26,1595543414,Thr3e,Ted Dekker,2003
27,446679097,The Lion's Game,Nelson DeMille,2000
28,385339607,The Rainmaker,John Grisham,1995
29,1250012570,Eleanor & Park,Rainbow Rowell,2013
30,786838655,The Lightning Thief,Rick Riordan,2005
31,440225450,The Final Detail,Harlan Coben,1999
32,743484355,A Cry in the Night,Mary Higgins Clark,1982
33,670016780,Half Bad,Sally Green,2014
34,140621733,Lady Windermere's Fan,Oscar Wilde,1893
35,61662763,The Awakening,Kelley Armstrong,2009
36,006117758X,Ham on Rye,Charles Bukowski,1982
37,1423102266,The Van Alen Legacy ,Melissa de la Cruz,2009
38,067056172X,A Pocket for Corduroy,Don Freeman,1978
39,385339097,The Street Lawyer,John Grisham,1998
40,413757102,Revolutionary Road,Richard Yates,1961
